Record #,Easting,Northing,Elev,Trend
,(m),(m),(m),(°)
770,381573,5249917,788,86
771,381639,5238634,828,128
772,381685,5279685,769,70
773,381767,5249852,789,103
774,381805,5238524,824,123
775,381858,5273988,837,74
776,382019,5249953,794,93
777,382056,5249784,792,109
778,382092,5260311,800,38
779,382097,5250094,792,29
780,382286,5260250,808,61
781,382288,5262144,785,55
782,382366,5260348,810,54
783,382429,5270072,857,96.8
784,382514,5260936,790,56
785,382588,5269597,855,6
786,382632,5260983,788,62
787,382659,5269656,860,24
788,382666,5270088,859,117.4
789,382671,5269824,855,10
790,382683,5260674,805,7
791,382718,5269761,856,163
792,382815,5268366,822,49.3
793,382818,5257218,801,161
794,382901,5268882,821,38.5
795,382928,5268002,825,94.9
796,382928,5272433,828,39.3
797,382969,5268649,823,35.5
798,382984,5274297,839,68.2
799,383070,5272649,829,25.3
800,383125,5249911,803,109
801,383199,5274141,834,162
802,383235,5280666,775,128
803,383242,5269321,824,69.7
804,383313,5277311,834,130
805,383358,5277335,835,101
806,383426,5274068,832,131
807,383428,5269429,823,44.5
808,383443,5277354,833,77
809,383479,5253426,836,65
810,383581,5269683,821,27.4
811,383611,5277290,836,46
812,383626,5287424,779,117
813,383641,5249916,779,130
814,383738,5277455,850,121
815,383757,5287366,778,119
816,383823,5268385,803,75
817,383831,5249929,777,128
818,383944,5269279,821,82.1
819,383946,5269654,820,36.4
820,383982,5246279,746,106
821,384026,5287214,779,124
822,384032,5249743,780,132
823,384053,5274551,838,70.4
824,384112,5287157,779,117
825,384160,5249503,776,122.4
826,384191,5252382,847,46
827,384199,5270107,821,1
828,384229,5269847,821,20
829,384264,5287133,778,77
830,384267,5278045,830,37
831,384280,5274647,834,68.1
832,384326,5270363,819,37.3
833,384330,5248726,788,152
834,384345,5270549,821,40.8
835,384389,5249536,773,101
836,384419,5270785,821,48.3
837,384486,5246338,746,58
838,384553,5269709,821,20
839,384554,5269709,820,19.7
840,384592,5270418,815,43
841,384607,5270944,820,67.3
842,384636,5269932,821,16.2
843,384654,5270971,820,15.6
844,384719,5252517,847,116
845,384766,5252471,850,118.8
846,384817,5252415,847,101.3
847,384829,5252339,848,110
848,384888,5252271,847,104.5
849,384935,5267419,819,72
850,384947,5252222,846,105.2
851,384964,5273997,810,53
852,385054,5252262,845,112
853,385099,5249123,769,73
854,385101,5244742,772,77
855,385122,5244577,770,70
856,385154,5274124,830,63
857,385156,5267402,856,133
858,385171,5260154,790,115
859,385174,5267299,849,124
860,385186,5276590,838,9
861,385195,5276654,842,178
862,385199,5267480,856,139
863,385225,5267848,821,123
864,385255,5267306,851,68
865,385364,5274189,829,67
866,385369,5276275,830,63
867,385378,5275651,797,108
868,385385,5275923,812,126
869,385473,5288206,762,129.1
870,385513,5267278,813,124
871,385529,5267720,859,22
872,385573,5267861,860,20
873,385616,5273523,804,65
874,385630,5244777,766,62.9
875,385630,5244777,766,64
876,385648,5291542,814,89.3
877,385705,5228893,851,137
878,385713,5287232,761,166
879,385848,5256706,793,61
880,385860,5248308,760,65
881,385873,5256950,791,19
882,385903,5266934,853,24
883,385966,5267201,859,41
884,385978,5252278,843,58
885,385993,5266983,853,18
886,386000,5255260,852,139
887,386010,5256765,794,71
888,386019,5248304,763,81
889,386072,5266535,817,163
890,386077,5291451,813,104.8
891,386081,5272862,809,78
892,386087,5249714,797,33
893,386103,5267163,854,28
894,386131,5266487,818,161
895,386146,5267245,856,59
896,386148,5252345,848,42
897,386205,5273117,811,70
898,386209,5272657,808,76
899,386224,5272765,811,69
900,386242,5255106,853,140
901,386286,5238369,880,155
902,386296,5291379,813,110.3
903,386345,5265949,799,133
904,386369,5266321,820,119
905,386386,5266258,817,36
906,386388,5266400,818,122
907,386388,5266147,816,21
908,386429,5265988,814,99
909,386438,5266359,822,150
910,386472,5266295,821,156
911,386489,5255365,800,34
912,386492,5279310,844,45
913,386508,5267872,814,59
914,386558,5272254,810,79
915,386567,5274602,828,26
916,386669,5267387,815,66
917,386674,5279479,842,28
918,386725,5255132,814,29
919,386727,5267717,801,126
920,386730,5291544,795,122
921,386798,5268020,811,133
922,386837,5252823,804,168
923,386881,5267601,802,134
924,386888,5266017,805,37
925,386896,5291359,795,122
926,386923,5275844,816,107
927,386930,5268834,800,46
928,387022,5274488,793,77
929,387041,5281376,826,31.9
930,387223,5238299,875,147
931,387238,5245352,740,111
932,387273,5258900,797,76
933,387293,5259024,794,89
934,387353,5258976,795,117
935,387489,5265952,806,77
936,387491,5266048,811,60
937,387513,5291889,776,126
938,387522,5238302,860,79
939,387553,5268221,787,28
940,387563,5251657,832,11
941,387604,5290676,810,126.5
942,387622,5291816,774,128
943,387637,5266002,817,74
944,387703,5291741,775,136
945,387738,5288312,798,7
946,387748,5266559,805,55
947,387821,5288459,803,27
948,387833,5259520,766,18
949,387875,5275991,815,132
950,387933,5266136,811,39
951,388008,5238606,836,77
952,388026,5275193,817,22
953,388073,5269152,776,45
954,388078,5274984,819,138
955,388088,5275283,818,44
956,388250,5287575,794,122
957,388427,5278437,834,152
958,388447,5267189,772,74
959,388460,5275509,818,58
960,388520,5267066,777,79
961,388579,5278283,832,139
962,388664,5250350,819,111
963,388683,5278124,832,135
964,388698,5293425,774,134
965,388776,5250245,820,109.1
966,388864,5293226,771,132
967,388871,5250170,817,110
968,388937,5251589,826,103
969,388985,5250199,815,122
970,389026,5293033,771,125
971,389203,5293535,775,169
972,389350,5250080,814,90
973,389355,5249797,804,106
974,389428,5249714,802,109
975,389482,5273969,832,35
976,389511,5250081,816,82
977,389550,5293516,768,46
978,389697,5293743,769,20
979,389709,5250635,817,110
980,389742,5293823,773,42
981,389865,5269554,751,141
982,389894,5250154,816,71
983,389960,5250226,817,67
984,390113,5250251,815,68
985,390148,5271088,779,70
986,390187,5244440,758,108
987,390205,5249519,803,33
988,390622,5265094,785,134
989,390638,5293350,764,42
990,390836,5263607,824,124
991,390933,5274035,765,108
992,390950,5264734,784,135
993,390973,5250196,813,75
994,390977,5250020,805,32
995,390980,5294019,764,128
996,391013,5250083,807,26
997,391031,5293987,761,128
998,391112,5250569,812,80
999,391120,5283641,818,108
1000,391127,5250581,812,81.4
1001,391142,5250816,806,13
1002,391155,5261787,757,175
1003,391155,5289851,772,164
1004,391160,5250404,812,68
1005,391288,5289701,770,162
1006,391361,5289581,766,152
1007,391363,5289396,765,151
1008,391381,5272811,803,61.5
1009,391477,5289311,763,152
1010,391605,5283434,813,94
1011,391669,5283371,815,128
1012,391673,5238956,856,117
1013,391744,5283330,818,108
1014,391914,5272747,764,133.3
1015,391914,5272747,764,121.4
1016,391964,5272642,763,133.6
1017,391992,5238985,857,91
1018,392027,5238768,850,112
1019,392033,5270456,772,68
1020,392082,5272536,763,138.4
1021,392184,5272455,764,143.2
1022,392240,5238738,844,86
1023,392315,5238789,844,72
1024,392352,5271312,818,31
1025,392352,5271312,819,29
1026,392377,5283321,809,101
1027,392489,5238881,849,58
1028,392505,5238997,851,62
1029,392517,5243002,775,30.2
1030,392517,5243002,775,30
1031,392633,5240431,791,31
1032,392653,5283225,806,103
1033,392747,5254810,765,97
